LD@20110907,gov
Con@20041027,opp
Lab@20040630,gov
Lab@20101110,opp
Lab@20050525,gov
Con@20131023,gov
Con@20050720,opp
SNP@20160608,opp
Con@20161102,gov
Con@20180321,gov
Con@20160525,gov
Unknown@20020130,opp
Lab@20040915,gov
Con@20160309,gov
Con@20110323,gov
Lab@20171115,opp
Con@20171213,gov
PC@20160120,opp
Lab@20121212,opp
Con@20070627,opp
Lab@20080507,gov
Lab@20141105,opp
Unknown@20031105,opp
Lab@20170329,opp
Con@20120307,gov
Unknown@20020109,opp
Unknown@20010307,opp
Lab@20120912,opp
LD@20111019,gov
Con@20150617,gov
Con@20080604,opp
Unknown@20030212,opp
Con@20131127,gov
Unknown@20000705,opp
Unknown@20030507,opp
Lab@20130911,opp
Lab@20130710,opp
LD@20050720,opp
SNP@20170118,opp
Con@20080109,opp
LD@20040211,opp
Unknown@20030917,opp
Unknown@20030514,opp
Unknown@20001122,opp
Con@20131211,gov
Lab/Co-op@20051116,gov
Lab@20051214,gov
Unknown@20000412,opp
Lab@20171011,opp
Unknown@20000614,opp
Lab/Co-op@20060215,gov
Con@20110907,gov
Con@20141217,gov
Con@20160316,gov
Con@20151209,gov
Lab@20120704,opp
Lab@20131030,opp
Unknown@19991208,opp
Lab@20111214,opp
Unknown@20031022,opp
Lab@20140226,opp
Con@20110302,gov
Con@20170208,gov
UUP@20040630,opp
Con@20170719,gov
Con@20091021,opp
Unknown@20000510,opp
LD@20110914,gov
Con@20150204,gov
Con@20150603,gov
Lab@20170712,opp
Unknown@20021023,opp
Lab@20100616,opp
Lab@20110615,opp
Unknown@20030305,opp
Con@20151021,gov
Con@20130904,gov
SNP@20160323,opp
Unknown@20001122,opp
SNP@20160316,opp
Lab@20051012,gov
LD@20150304,gov
Lab@20150909,opp
Con@20150325,gov
Con@20170712,gov
Lab@20171025,opp
Con@20170201,gov
Unknown@20030716,opp
SNP@20140910,opp
Lab@20160427,opp
Con@20110629,gov
Con@20080130,opp
Con@20050309,opp
LD@20150107,gov
Con@20180131,gov
Lab@20080130,gov
Unknown@20011024,opp
Lab@20131127,opp
Lab@20040526,gov
Con@20101201,gov
Lab@20160511,opp
Unknown@20010704,opp
Unknown@20030716,opp
Con@20150121,gov
Lab@20141015,opp
LD@20060215,opp
Lab@20171129,opp
Con@20130904,gov
Lab@20130213,opp
Con@20111130,gov
Lab@20140430,opp
LD@20060426,opp
Con@20070613,opp
Con@20120321,gov
Con@20101215,gov
Lab@20131030,opp
LD@20051130,opp
Unknown@20000614,opp
Lab@20111019,opp
Lab@20131218,opp
Lab@20170712,opp
Lab@20171122,opp
Unknown@20010228,opp
Unknown@20010711,opp
Con@20080116,opp
Lab@20150114,opp
