Chris Evans,opp
Ms Harriet Harman,opp
Mr. John Greenway,opp
Ruth Smeeth,opp
Julie Elliott,opp
Mr. David Cameron,opp
Simon Hoare,gov
Mr. Nigel Beard,gov
Carolyn Harris,opp
Mr. Michael Howard,opp
Mr. Nick Clegg,opp
Sir David Amess,gov
Christian Matheson,opp
Mims Davies,gov
Emily Thornberry,opp
Richard Burden,gov
Ms Tasmina Ahmed-Sheikh,opp
Ian Paisley,opp
Dr Sarah Wollaston,gov
Angus Robertson,opp
Johnny Mercer,gov
Andrew Rosindell,gov
Norman Baker,opp
Mr. Iain Duncan Smith,opp
Andrew George,gov
Pete Wishart,opp
Edward Miliband,opp
Clive Efford,opp
Mr. David Cameron,opp
Michael Howard,opp
Mrs Sharon Hodgson,opp
Roger Williams,gov
Anne Picking,gov
Edward Miliband,opp
Catherine McKinnell,opp
Ms Harriet Harman,opp
Michael Fabricant,opp
Mr. Michael Howard,opp
Mr. David Cameron,opp
Andy McDonald,opp
Ross Thomson,gov
Steve Webb,opp
Mr. Laurence Robertson,opp
Mr. Peter Brooke,opp
Mr. Andrew Dismore,gov
Mrs Eleanor Laing,gov
Mr. Michael Howard,opp
Mr. John Heppell,opp
Mark Pawsey,gov
Mrs. Anne Campbell,opp
Mr. David Cameron,opp
Huw Irranca-Davies,opp
Jeremy Corbyn,opp
Ms Harriet Harman,opp
Mr. Siôn Simon,gov
Jeremy Corbyn,opp
Will Quince,gov
David Taylor,gov
Mr. Nick Hawkins,opp
Mr Julian Brazier,gov
Mr. Simon Burns,opp
Willie Rennie,opp
Mr. Tom Levitt,opp
Heidi Alexander,opp
Mr. Charles Kennedy,opp
Sir Alan Haselhurst,gov
Mr. John Wilkinson,opp
Mike Wood,gov
Mhairi Black,opp
David Lidington,gov
Ms Harriet Harman,opp
Mr Geoffrey Robinson,opp
Mr. Ben Bradshaw,opp
Mr Oliver Heald,gov
Mr. Anthony D. Wright,opp
Mr. Charles Kennedy,opp
Dr. Doug Naysmith,opp
Norman Lamb,opp
Mrs. Louise Ellman,gov
Edward Miliband,opp
Angus Robertson,opp
George Osborne,gov
Mr. Michael Howard,opp
David Simpson,opp
Mr. Charles Kennedy,opp
Edward Miliband,opp
Dr Matthew Offord,gov
Edward Miliband,opp
Tom Elliott,opp
Mike Freer,gov
Mr James Gray,gov
Mr Frank Roy,opp
Graham Evans,gov
Edward Miliband,opp
Mr. Charles Kennedy,opp
Mr. Iain Duncan Smith,opp
Mr Nigel Dodds,opp
Henry Smith,gov
Mr. Michael Howard,opp
Edward Miliband,opp
Mr Bernard Jenkin,gov
Jeremy Corbyn,opp
George Osborne,gov
Sir Teddy Taylor,opp
Michael Ellis,gov
Mr. Barry Gardiner,opp
James Morris,gov
Mr. Charles Kennedy,opp
Phil Sawford,opp
Dr Liam Fox,gov
Helen Jones,opp
Mr. Charles Kennedy,opp
Edward Miliband,opp
Mr Jamie Reed,opp
Mr Steve Reed,opp
Mr Gareth Thomas,opp
Dr Rupa Huq,opp
Mr. Michael Howard,opp
Callum McCaig,opp
Sir Gerald Howarth,gov
Mr. John Hayes,opp
Mr Jack Straw,opp
Mr Angus Brendan MacNeil,opp
Edward Miliband,opp
Liz McInnes,opp
David Cameron,opp
George Eustice,gov
Steve Brine,gov
Mr. Tam Dalyell,gov
Mr Steve Brine,gov
Mrs. Joan Humble,opp
Meg Hillier,gov
David Burnside,opp
Mr. Michael Ancram,opp
Edward Miliband,opp
Jeremy Corbyn,opp
Mr John Baron,gov
Mr. David Cameron,opp
David Lidington,gov
Ruth Cadbury,opp
Dr. Julian Lewis,opp
Edward Miliband,opp
Mr. Tom Levitt,opp
Mr. Simon Hughes,opp
Jeff Ennis,opp
Mr. Marsha Singh,gov
Mr. David Cameron,opp
Graeme Morrice,opp
Gemma Doyle,opp
Mr Gregory Campbell,opp
Joan Ryan,opp
Mr. Roger Berry,opp
Edward Miliband,opp
Mark Durkan,opp
Nigel Dodds,cas
Mr Marcus Jones,gov
Dr Thérèse Coffey,gov
Mr Stephen Hepburn,opp
Lilian Greenwood,opp
Mr. David Cameron,opp
Mr. Alistair Carmichael,opp
Jeremy Corbyn,opp
Mike Thornton,gov
Julie Hilling,opp
Mr Nigel Dodds,opp
Ms Tasmina Ahmed-Sheikh,opp
Paul Farrelly,opp
Mr Shailesh Vara,gov
Mr. James Clappison,opp
Bridget Phillipson,opp
Susan Elan Jones,opp
Annette Brooke,opp
Jeremy Corbyn,opp
Andrew Mackinlay,opp
Ms Karen Buck,gov
Mrs Anne Main,gov
Alison Seabeck,opp
Mr. David Cameron,opp
Jim Dobbin,opp
Dr Julian Huppert,gov
Jeremy Corbyn,opp
David Lidington,gov
Sir Menzies Campbell,opp
Jack Lopresti,gov
Dr. Vincent Cable,opp
Mr. Parmjit Singh Gill,opp
Mr. Michael Connarty,opp
Mr. Denis MacShane,opp
Grahame M. Morris,opp
Harry Cohen,gov
Christopher Pincher,gov
Maggie Throup,gov
Dr Matthew Offord,gov
Jack Lopresti,gov
Mike Kane,opp
Debbie Abrahams,opp
Jack Lopresti,gov
Ed Balls,opp
Jessica Morden,opp
Emily Thornberry,opp
Q7.  Mr. Henry Bellingham,opp
Mr. Peter Hain,opp
Mr. Iain Duncan  Smith,opp
Andrew Rosindell,gov
Jim Knight,gov
Jeremy Corbyn,opp
Mel Stride,gov
Dr Julian Huppert,gov
Ms Celia Barlow,gov
Mike Crockart,gov
Edward Miliband,opp
David Rutley,gov
Sir Alan Beith,gov
Mr. David Cameron,opp
Mr. David Cameron,opp
Sir Julian Brazier,gov
Ms Rosie Winterton,opp
Alan Simpson,opp
William Hague,gov
Jeremy Corbyn,opp
Sir Peter Tapsell,gov
Anas Sarwar,opp
Mr. Peter Luff,opp
Mr. Charles Kennedy,opp
Tim Farron,opp
Edward Miliband,opp
Jessica Lee,gov
Mr. Eric Illsley,gov
John Battle,gov
Richard Drax,gov
Andrea Jenkyns,gov
Mr. Charles Kennedy,opp
Sir Alan Beith,gov
Mr. Marsha Singh,opp
Tom Levitt,gov
Edward Miliband,opp
Mr. Fabian Hamilton,gov
Andrew Stephenson,gov
Jeremy Corbyn,opp
Bridget Phillipson,opp
Martyn Day,opp
Sir Menzies Campbell,opp
Jeremy Corbyn,opp
Mr. James Plaskitt,opp
Mr Philip Hollobone,gov
Jeremy Corbyn,opp
Mr. Michael Fallon,opp
Mr. Mike Gapes,opp
Mr. Ian Davidson,gov
Alec Shelbrooke,gov
Jo Stevens,opp
Mr Jim Cunningham,opp
David Lidington,gov
Dr. John Pugh,opp
Mr. William Hague,opp
Jo Cox,opp
Mrs Anne Main,gov
Geraldine Smith,gov
Andrew Miller,gov
Jo Churchill,gov
Liz Blackman,opp
Mrs Mary Glindon,opp
Ms Gisela Stuart,opp
Edward Miliband,opp
Callum McCaig,opp
Edward Miliband,opp
David T.C. Davies,opp
Richard Harrington,gov
Richard Harrington,gov
Cathy Jamieson,opp
Mr. John Grogan,opp
David Morris,gov
Andrew Selous,gov
Neil Carmichael,gov
Naomi Long,opp
Mr. David Cameron,opp
Peter Dowd,opp
Mr. Michael Howard,opp
Edward Miliband,opp
Dr William McCrea,opp
Ian Mearns,opp
Mr. Nigel Evans,opp
Simon Hoare,gov
Mrs Siân C. James,opp
Ann McKechin,opp
Edward Miliband,opp
Mr. Charles Kennedy,opp
Mr Graham Stuart,gov
Caroline Lucas,opp
Siobhain McDonagh,opp
Mr. Stephen Crabb,opp
Paul Flynn,opp
Mr. Charles Kennedy,opp
Edward Miliband,opp
Nigel Huddleston,gov
Mr Jack Straw,opp
Edward Miliband,opp
Mr. James Plaskitt,gov
Mr Iain Wright,opp
Andrew Jones,gov
Rev. Ian Paisley,opp
Mr. David Cameron,opp
Stephen Mosley,gov
Mr Brian Binley,gov
Dame Caroline Spelman,gov
Mr. Edward Garnier,opp
Geoffrey Clifton-Brown,gov
Nick Smith,opp
Heidi Alexander,opp
John Woodcock,opp
Mr. Michael Howard,opp
Mr. Crispin Blunt,opp
Gavin Newlands,opp
Mr. Mark Lancaster,opp
Lindsay Roy,opp
Kate Hoey,gov
Nick Smith,opp
Damian Green,gov
Mr. William Hague,opp
Edward Miliband,opp
Ian Mearns,opp
John Robertson,gov
Edward Miliband,opp
Chris Grayling,opp
John Mann,opp
Mr. David Cameron,opp
Edward Miliband,opp
Edward Miliband,opp
Lucy Allan,gov
Michael Howard,opp
Helen Hayes,opp
Mr. Tony Banks,opp
Caroline Lucas,opp
Mr. Simon Burns,opp
Mr. David Heath,opp
Mr. Huw Edwards,opp
Mr. Brian Jenkins,gov
Mr John Baron,gov
Mr David Amess,gov
Mr. David Winnick,opp
Mr. Lindsay Hoyle,gov
Glyn Davies,gov
Stephen McPartland,gov
Marion Fellows,opp
Mr. Nigel Evans,opp
Mr. Tim Loughton,opp
Priti Patel,gov
Mr. Michael Howard,opp
Andy Burnham,opp
Nigel Adams,gov
Alistair Carmichael,opp
Mark Hunter,gov
Dr Lisa Cameron,opp
Andrea Leadsom,gov
Mr Ben Bradshaw,opp
Nadhim Zahawi,gov
Peter Grant,opp
Mr. Ian Davidson,opp
Henry Smith,gov
Amanda Milling,gov
